"sp","migrant","area","HWI","family","hwi"
"Oreothlypis_superciliosa","Non-migrant",34.8277562978535,38.4593053910009,"Parulidae",25.31551003
"Oriturus_superciliosus","Non-migrant",26.0135660894006,30.3326505993173,"Passerellidae",17.27505454
"Parkesia_motacilla","Migrant",454.04577007,40.79963025529,"Parulidae",27.84104886
"Parkesia_noveboracensis","Migrant",2061.19717232817,38.2456296387168,"Parulidae",25.25654787
"Passerculus_sandwichensis","Migrant",2454.83523346386,41.0197135180196,"Passerellidae",27.90609385
"Passerella_iliaca","Migrant",1648.23330843061,29.0271535701938,"Passerellidae",16.1148209
"Passerina_amoena","Migrant",484.596212363847,40.6185999462536,"Cardinalidae",27.40873316
"Passerina_ciris","Migrant",336.60086875891,38.3548318738443,"Cardinalidae",25.1829262
"Passerina_cyanea","Migrant",747.651129100357,45.6857378332599,"Cardinalidae",32.5724277
"Passerina_versicolor","Migrant",137.711509223582,32.8700396825397,"Cardinalidae",19.53621032
"Peucaea_aestivalis","Migrant",73.2210097494611,25.9849435938688,"Passerellidae",13.01320339
"Peucaea_botterii","Non-migrant",87.4836083082852,26.864653363958,"Passerellidae",13.83665901
"Peucaea_carpalis","Non-migrant",16.3263805909692,28.9132140093045,"Passerellidae",15.7388973
"Peucaea_cassinii","Migrant",216.266122179539,30.8268143734872,"Passerellidae",17.73643518
"Peucaea_ruficauda","Non-migrant",22.4453558181617,24.9357765520619,"Passerellidae",11.83656302
"Pezopetes_capitalis","Non-migrant",0.280083833114053,19.8040613652741,"Passerellidae",6.933099901
"Phaenicophilus_palmarum","Non-migrant",5.74234466135118,26.4651461561713,"Phaenicophilidae",13.69773459
"Pheucticus_aureoventris","Migrant",164.738533354272,42.3718472113174,"Cardinalidae",29.58346682
"Pheucticus_chrysogaster","Non-migrant",44.3267864306319,33.9387768220018,"Cardinalidae",21.11776541
"Pheucticus_ludovicianus","Migrant",984.789325613447,46.4131933769229,"Cardinalidae",33.66994065
"Pheucticus_melanocephalus","Migrant",612.330133311846,45.4241109822918,"Cardinalidae",32.71922782
"Pheucticus_tibialis","Non-migrant",1.61464163598205,42.6601914068712,"Cardinalidae",29.94542609
"Phrygilus_atriceps","Non-migrant",45.9063654872709,32.6544618056381,"Thraupidae",19.91161171
"Phrygilus_gayi","Migrant",175.572838078915,36.6907267597041,"Thraupidae",23.79568939
"Phrygilus_patagonicus","Migrant",65.810379868488,34.4050255651522,"Thraupidae",21.42020817
"Pinaroloxias_inornata","Non-migrant",0.002020634706359,28.7074521280084,"Thraupidae",15.56467842
"Pipilo_chlorurus","Migrant",404.305181265289,29.1922624673927,"Passerellidae",16.09115358
"Pipilo_erythrophthalmus","Migrant",360.556623920843,29.1725738120627,"Passerellidae",16.34448158
"Pipilo_ocai","Non-migrant",9.7781620219817,22.1560208365211,"Passerellidae",9.185282673
"Pipraeidea_bonariensis","Migrant",308.922062022756,38.1734031571903,"Thraupidae",25.3734255
"Pipraeidea_melanonota","Non-migrant",183.654431526494,42.6074081601133,"Thraupidae",29.76625675
"Piranga_bidentata","Non-migrant",36.3908093857693,40.5867704579735,"Cardinalidae",27.79392806
"Piranga_flava","Non-migrant",505.01018339037,38.6409046070063,"Cardinalidae",25.96288959
"Piranga_leucoptera","Non-migrant",47.2387777928098,36.7467360862635,"Cardinalidae",23.55429411
"Piranga_ludoviciana","Migrant",858.607618480526,45.2591572046178,"Cardinalidae",32.40687074
"Piranga_olivacea","Migrant",625.851553944551,45.9851741147039,"Cardinalidae",33.26166538
"Piranga_roseogularis","Non-migrant",9.06494905434306,31.4455363614237,"Cardinalidae",18.44663179
"Piranga_rubra","Migrant",774.823485092983,45.3249078696929,"Cardinalidae",32.61272841
"Plectrophenax_nivalis","Migrant",4573.6178309242,52.5750039326726,"Calcariidae",39.47588092
"Pooecetes_gramineus","Migrant",1194.54284165642,40.529268640008,"Passerellidae",27.67929335
"Poospiza_nigrorufa","Migrant",89.5912147723045,26.12876556911,"Thraupidae",12.79791822
"Poospiza_whitii","Non-migrant",26.9437233485207,29.1916971916972,"Thraupidae",16.11965812
"Protonotaria_citrea","Migrant",380.356438216486,40.6022776343337,"Parulidae",27.63963337
"Psarocolius_angustifrons","Non-migrant",182.157181667488,43.2996468370285,"Icteridae",30.20403257
"Psarocolius_atrovirens","Non-migrant",11.681922680445,41.551731138549,"Icteridae",28.52378063
"Psarocolius_decumanus","Non-migrant",869.179360200318,47.712269591032,"Icteridae",34.64689782
"Psarocolius_montezuma","Non-migrant",42.1548930093089,49.0619691193695,"Icteridae",36.02706919
"Psarocolius_viridis","Non-migrant",411.689031555668,48.7501801065614,"Icteridae",25.16906475
"Psarocolius_wagleri","Non-migrant",40.0157654719207,41.4192377034133,"Icteridae",28.55757987
"Pseudoleistes_virescens","Migrant",117.293270927344,36.6185498094588,"Icteridae",23.56839372
"Ptiloxena_atroviolacea","Non-migrant",9.30227559610249,34.1701918692343,"Icteridae",21.19506807
"Quiscalus_lugubris","Non-migrant",75.2722733390144,35.9143333467175,"Icteridae",23.15880669
"Quiscalus_major","Migrant",19.6131898748233,44.6753789403121,"Icteridae",31.62562667
"Quiscalus_mexicanus","Non-migrant",481.877818574008,43.7573208272342,"Icteridae",30.79049784
"Quiscalus_niger","Non-migrant",17.9117693776207,31.36609334291,"Icteridae",18.51794802
"Quiscalus_quiscula","Migrant",969.231126717904,40.5074127299694,"Icteridae",27.73330168
"Rhodinocichla_rosea","Non-migrant",13.7008733484207,23.2250388189985,"Rhodinocichlidae",10.10047987
"Rhynchophanes_mccownii","Migrant",247.698357064483,47.943212892584,"Calcariidae",34.80552551
"Saltator_albicollis","Non-migrant",0.335904486532864,29.8871780515118,"Thraupidae",17.12163276
"Saltator_atriceps","Non-migrant",60.2810104885641,29.1218028759012,"Thraupidae",16.0936062
"Saltator_atripennis","Non-migrant",8.98224910860686,31.8316223459081,"Thraupidae",18.98392084
"Saltator_aurantiirostris","Non-migrant",227.434863582317,32.5954171142141,"Thraupidae",19.8975903
"Saltator_coerulescens","Non-migrant",687.569930115252,28.2585140156859,"Thraupidae",15.46136651
"Saltator_grossus","Non-migrant",510.124561471527,32.1710637903423,"Thraupidae",19.45293595
"Saltator_maximus","Non-migrant",785.111001759513,31.5670107658718,"Thraupidae",18.86537932
"Saltator_orenocensis","Non-migrant",33.779779756741,31.9368706481791,"Thraupidae",18.98371629
"Saltator_similis","Non-migrant",329.37197149436,31.2429997510166,"Thraupidae",18.40925087
"Saltator_striatipectus","Non-migrant",72.9359343414969,27.1042787000234,"Thraupidae",14.29863996
"Seiurus_aurocapilla","Migrant",961.714144894546,40.7239254220791,"Parulidae",27.67614631
"Setophaga_adelaidae","Non-migrant",0.762211972867028,30.9122261764174,"Parulidae",17.97606604
"Setophaga_americana","Migrant",563.906683386518,40.4488197581559,"Parulidae",27.36682226
"Setophaga_caerulescens","Migrant",312.753688204453,39.7387270125441,"Parulidae",26.43004303
"Setophaga_castanea","Migrant",928.386134242175,45.8093780970933,"Parulidae",32.81341598
"Setophaga_cerulea","Migrant",443.622555414975,51.3437930043529,"Parulidae",38.30865451
"Setophaga_chrysoparia","Migrant",38.3042489232926,42.7112769136194,"Parulidae",29.56393544
"Setophaga_citrina","Migrant",297.27749737721,36.30792260627,"Parulidae",23.11950463
"Setophaga_coronata","Migrant",1924.27134500421,44.5590996961144,"Parulidae",31.345551
"Setophaga_discolor","Migrant",212.375615554455,35.8697556946801,"Parulidae",23.04244225
"Setophaga_dominica","Migrant",301.242810933443,43.6529790385622,"Parulidae",30.42633699
"Setophaga_fusca","Migrant",873.036692251467,51.0895942265999,"Parulidae",38.00609648
"Setophaga_graciae","Migrant",104.506362619226,42.0782083825682,"Parulidae",28.99609344
"Setophaga_kirtlandii","Migrant",5.56497659472072,42.791339638204,"Parulidae",29.71714947
"Setophaga_magnolia","Migrant",993.581087337589,31.5140654344539,"Parulidae",18.49299944
"Setophaga_nigrescens","Migrant",351.79948085,41.5309022993657,"Parulidae",28.35189535
"Setophaga_occidentalis","Migrant",231.327635520969,40.4104102948814,"Parulidae",27.34795237
"Setophaga_palmarum","Migrant",930.35280315625,36.3200275336252,"Parulidae",23.18038787
"Setophaga_pensylvanica","Migrant",765.451821108306,46.6076503559982,"Parulidae",33.43792535
"Setophaga_petechia","Migrant",2519.00473971789,39.0825903910794,"Parulidae",25.95585636
"Setophaga_pinus","Migrant",234.876666591836,42.8629893419107,"Parulidae",29.70377079
"Setophaga_pitiayumi","Migrant",715.415794948073,35.5983404939316,"Parulidae",22.41857626
"Setophaga_pityophila","Non-migrant",0.657352059890203,41.1665989622497,"Parulidae",28.27100494
