"sp","longitude","latitude","country"
"Pharomachrus mocinno",-93.06457,15.798402,"MX"
"Pharomachrus mocinno",-93.132355,17.177864,"MX"
"Pharomachrus mocinno",-92.808,15.657,"MX"
"Pharomachrus mocinno",-92.80475,15.643528,"MX"
"Pharomachrus mocinno",-92.14269,15.11247,"MX"
"Pharomachrus mocinno",-92.144646,15.147979,"MX"
"Pharomachrus mocinno",-92.144615,15.144187,"MX"
"Pharomachrus mocinno",-93.13551,17.180387,"MX"
"Pharomachrus mocinno",-92.78736,15.69323,"MX"
"Pharomachrus mocinno",-92.1428,15.11249,"MX"
"Pharomachrus mocinno",-93.122776,17.188189,"MX"
"Pharomachrus mocinno",-92.801173,15.664593,"MX"
"Pharomachrus mocinno",-93.12926,17.189647,"MX"
"Pharomachrus mocinno",-92.645559,15.505494,"MX"
"Pharomachrus mocinno",-92.810092,15.651313,"MX"
"Pharomachrus mocinno",-92.812095,15.655668,"MX"
"Pharomachrus mocinno",-93.120585,17.187474,"MX"
"Pharomachrus mocinno",-93.14576,17.164999,"MX"
"Pharomachrus mocinno",-93.08732,15.797742,"MX"
"Pharomachrus mocinno",-92.80896,15.657451,"MX"
"Pharomachrus mocinno",-92.79285,15.697829,"MX"
"Pharomachrus mocinno",-92.81018,15.622128,"MX"
"Pharomachrus mocinno",-92.809074,15.657602,"MX"
"Pharomachrus mocinno",-93.433338,16.04999,"MX"
"Pharomachrus mocinno",-92.808725,15.657164,"MX"
"Pharomachrus mocinno",-92.678396,16.863318,"MX"
"Pharomachrus mocinno",-91.707433,16.106238,"MX"
"Pharomachrus mocinno",-93.136676,17.16447,"MX"
"Pharomachrus mocinno",-93.132356,17.166528,"MX"
"Pharomachrus mocinno",-93.124785,17.188867,"MX"
"Pharomachrus mocinno",-92.649394,16.731884,"MX"
"Pharomachrus mocinno",-92.81408,15.659823,"MX"
"Pharomachrus mocinno",-92.803333,15.656973,"MX"
"Pharomachrus mocinno",-92.808134,15.656779,"MX"
"Pharomachrus mocinno",-92.808198,15.652689,"MX"
"Pharomachrus mocinno",-92.805795,15.736052,"MX"
"Pharomachrus mocinno",-92.81081,15.658738,"MX"
"Pharomachrus mocinno",-92.802666,15.690323,"MX"
"Pharomachrus mocinno",-93.68981,16.29295,"MX"
"Pharomachrus mocinno",-92.13219,15.10813,"MX"
"Pharomachrus mocinno",-92.13736,15.11827,"MX"
"Pharomachrus mocinno",-93.59552,16.113245,"MX"
"Pharomachrus mocinno",-92.95377,15.722054,"MX"
"Pharomachrus mocinno",-93.07442,15.839973,"MX"
"Pharomachrus mocinno",-93.14201,17.188053,"MX"
"Pharomachrus mocinno",-92.80892,15.650123,"MX"
"Pharomachrus mocinno",-93.06983,15.769343,"MX"
"Pharomachrus mocinno",-92.8091,15.65741,"MX"
"Pharomachrus mocinno",-92.93928,15.72053,"MX"
"Pharomachrus mocinno",-92.80874,15.657106,"MX"
"Pharomachrus mocinno",-93.58353,16.111656,"MX"
"Pharomachrus mocinno",-92.73046,15.64737,"MX"
"Pharomachrus mocinno",-92.14418,15.110846,"MX"
"Pharomachrus mocinno",-92.80859,15.656635,"MX"
"Pharomachrus mocinno",-94.1875,16.737,"MX"
"Pharomachrus mocinno",-92.212204,15.258573,"MX"
"Pharomachrus mocinno",-92.7917,15.698085,"MX"
"Pharomachrus mocinno",-92.80854,15.657154,"MX"
"Pharomachrus mocinno",-92.809044,15.657084,"MX"
"Pharomachrus mocinno",-92.80884,15.66046,"MX"
"Pharomachrus mocinno",-92.7356,15.631,"MX"
"Pharomachrus mocinno",-92.941795,15.722025,"MX"
"Pharomachrus mocinno",-92.80792,15.654628,"MX"
"Pharomachrus mocinno",-92.8052,15.655096,"MX"
"Pharomachrus mocinno",-92.8038,15.639218,"MX"
"Pharomachrus mocinno",-93.58545,16.111887,"MX"
"Pharomachrus mocinno",-93.68775,16.29932,"MX"
"Pharomachrus mocinno",-93.074554,15.839948,"MX"
"Pharomachrus mocinno",-93.0815,15.830896,"MX"
"Pharomachrus mocinno",-93.09866,15.836082,"MX"
"Pharomachrus mocinno",-93.074455,15.840078,"MX"
"Pharomachrus mocinno",-92.14796,15.159136,"MX"
"Pharomachrus mocinno",-92.81868,15.621425,"MX"
"Pharomachrus mocinno",-92.808266,15.651229,"MX"
"Pharomachrus mocinno",-93.985,16.663333,"MX"
"Pharomachrus mocinno",-93.968333,16.663333,"MX"
"Pharomachrus mocinno",-92.1,15.131667,"MX"
"Pharomachrus mocinno",-92.368333,15.258333,"MX"
"Pharomachrus mocinno",-91.711667,16.755,"MX"
"Pharomachrus mocinno",-91.855,16.201667,"MX"
"Pharomachrus mocinno",-92.883333,17.1,"MX"
"Pharomachrus mocinno",-92.573333,15.571667,"MX"
"Pharomachrus mocinno",-94.48,16.506667,"MX"
"Pharomachrus mocinno",-94.366667,16.533333,"MX"
"Pharomachrus mocinno",-93.411667,16.805,"MX"
"Pharomachrus mocinno",-92.8,15.65,"MX"
"Pharomachrus mocinno",-93.016667,17.248611,"MX"
"Pharomachrus mocinno",-92.8075,15.656944,"MX"
"Pharomachrus mocinno",-93.805,16.695,"MX"
"Pharomachrus mocinno",-92.813889,15.661111,"MX"
"Pharomachrus mocinno",-92.661944,15.951111,"MX"
"Pharomachrus mocinno",-92.123611,15.126389,"MX"
"Pharomachrus mocinno",-93.115278,17.178889,"MX"
"Pharomachrus mocinno",-91.694444,16.098056,"MX"
"Pharomachrus mocinno",-92.808333,15.656944,"MX"
"Pharomachrus mocinno",-92.233333,16.488889,"MX"
"Pharomachrus mocinno",-92.316667,17.277778,"MX"
"Pharomachrus mocinno",-92.868611,15.713611,"MX"
"Pharomachrus mocinno",-92.860833,17.067222,"MX"
"Pharomachrus mocinno",-94.583333,16.565556,"MX"
"Pharomachrus mocinno",-92.916667,17.241667,"MX"
"Pharomachrus mocinno",-93.068889,15.802222,"MX"
"Pharomachrus mocinno",-93.064444,15.816667,"MX"
"Pharomachrus mocinno",-91.895556,16.309722,"MX"
"Pharomachrus mocinno",-93.118889,17.192222,"MX"
"Pharomachrus mocinno",-92.806944,15.656944,"MX"
"Pharomachrus mocinno",-92.578056,15.576389,"MX"
"Pharomachrus mocinno",-92.011111,16.018056,"MX"
"Pharomachrus mocinno",-91.795833,16.409722,"MX"
"Pharomachrus mocinno",-91.508333,16.495833,"MX"
"Pharomachrus mocinno",-92.146111,15.157778,"MX"
"Pharomachrus mocinno",-92.897778,17.156667,"MX"
"Pharomachrus mocinno",-93.494444,16.177778,"MX"
"Pharomachrus mocinno",-91.635833,16.461111,"MX"
"Pharomachrus mocinno",-91.703333,16.151944,"MX"
"Pharomachrus mocinno",-91.627778,16.897222,"MX"
"Pharomachrus mocinno",-92.416667,17.166667,"MX"
"Pharomachrus mocinno",-93.094444,17.180556,"MX"
"Pharomachrus mocinno",-92.469167,17.341111,"MX"
"Pharomachrus mocinno",-93.083333,17.208333,"MX"
"Pharomachrus mocinno",-93.601667,16.195,"MX"
"Pharomachrus mocinno",-93.520833,16.891944,"MX"
"Pharomachrus mocinno",-93.223611,16.958889,"MX"
"Pharomachrus mocinno",-93.070556,15.815833,"MX"
"Pharomachrus mocinno",-92.806667,15.655833,"MX"
"Pharomachrus mocinno",-94.052778,16.641667,"MX"
"Pharomachrus mocinno",-93.416667,16.170833,"MX"
"Pharomachrus mocinno",-92.901389,17.180556,"MX"
"Pharomachrus mocinno",-92.808725,15.657253,"MX"
"Pharomachrus mocinno",-92.909543,15.691358,"MX"
"Pharomachrus mocinno",-92.9,15.7,"MX"
"Pharomachrus mocinno",-92.02063,16.98106,"MX"
"Pharomachrus mocinno",-93.122302,17.187055,"MX"
"Pharomachrus mocinno",-93.121861,17.177778,"MX"
"Pharomachrus mocinno",-92.80948,15.653897,"MX"
"Pharomachrus mocinno",-92.808156,15.651683,"MX"
"Pharomachrus mocinno",-92.797546,15.661052,"MX"
"Pharomachrus mocinno",-93.461671,16.055613,"MX"
"Pharomachrus mocinno",-93.124167,17.188322,"MX"
"Pharomachrus mocinno",-92.650532,15.610664,"MX"
"Pharomachrus mocinno",-92.744,15.6,"MX"
"Pharomachrus mocinno",-92.8091,15.6569,"MX"
"Pharomachrus mocinno",-91.68,16.1009,"MX"
"Pharomachrus mocinno",-92.9299,15.7272,"MX"
"Pharomachrus mocinno",-92.801514,15.667999,"MX"
"Pharomachrus mocinno",-93.45465,16.063152,"MX"
"Pharomachrus mocinno",-92.79845,15.667137,"MX"
"Pharomachrus mocinno",-93.60722,16.150555,"MX"
"Pharomachrus mocinno",-93.09585,15.83893,"MX"
"Pharomachrus mocinno",-93.09835,15.835742,"MX"
"Pharomachrus mocinno",-93.09808,15.836309,"MX"
"Pharomachrus mocinno",-93.075554,15.840178,"MX"
"Pharomachrus mocinno",-93.07564,15.840155,"MX"
"Pharomachrus mocinno",-93.09429,15.839503,"MX"
"Pharomachrus mocinno",-91.70623,16.09396,"MX"
"Pharomachrus mocinno",-93.07565,15.840172,"MX"
"Pharomachrus mocinno",-93.09585,15.839028,"MX"
