"sp","migrant","area","HWI","family"
"Atlapetes_albofrenatus","Non-migrant",2.53793971291311,27.6125084850705,"Passerellidae"
"Atlapetes_melanocephalus","Non-migrant",0.333368195308578,25.1211275858952,"Passerellidae"
"Atlapetes_pallidinucha","Non-migrant",7.98489673204578,21.9834984726551,"Passerellidae"
"Atlapetes_pileatus","Non-migrant",30.3481923394201,29.1208204337473,"Passerellidae"
"Atlapetes_rufinucha","Non-migrant",3.30313296057672,22.8683131696184,"Passerellidae"
"Atlapetes_schistaceus","Non-migrant",11.7358309663162,20.5335325384735,"Passerellidae"
"Atlapetes_semirufus","Non-migrant",5.57596420537757,21.3673313923305,"Passerellidae"
"Basileuterus_belli","Non-migrant",28.6280520428308,28.0010469536362,"Parulidae"
"Basileuterus_culicivorus","Non-migrant",44.5038864522492,36.7833649578072,"Parulidae"
"Basileuterus_lachrymosus","Migrant",29.4340939835426,34.4830693528365,"Parulidae"
"Basileuterus_melanogenys","Non-migrant",0.397674945669216,30.3300811860919,"Parulidae"
"Basileuterus_rufifrons","Non-migrant",82.9436044929278,24.6329668600697,"Parulidae"
"Basileuterus_tristriatus","Non-migrant",39.0986843034802,30.2939499355713,"Parulidae"
"Buthraupis_montana","Non-migrant",24.5908545602676,33.5710992252351,"Thraupidae"
"Cacicus_cela","Non-migrant",703.574113005533,44.060399135748,"Icteridae"
"Cacicus_chrysopterus","Non-migrant",147.586037180634,30.8400129889022,"Icteridae"
"Cacicus_haemorrhous","Non-migrant",668.941938622899,40.7811818463118,"Icteridae"
"Cacicus_solitarius","Non-migrant",737.180054618323,27.8537407690349,"Icteridae"
"Cacicus_uropygialis","Non-migrant",11.2649390274693,40.5833690493198,"Icteridae"
"Calamospiza_melanocorys","Migrant",378.419860566223,40.7126722244061,"Passerellidae"
"Calcarius_lapponicus","Migrant",4276.9492133146,47.8757522567071,"Calcariidae"
"Calcarius_ornatus","Migrant",341.190854731046,40.0101375426649,"Calcariidae"
"Calcarius_pictus","Migrant",871.255053743346,52.5750039326726,"Calcariidae"
"Cardellina_canadensis","Migrant",907.894341407439,39.516696242803,"Parulidae"
"Cardellina_pusilla","Migrant",2235.94034295752,37.8295588997105,"Parulidae"
"Cardellina_rubra","Non-migrant",20.0984221654503,27.9128760317215,"Parulidae"
"Cardellina_rubrifrons","Migrant",58.3502377910462,37.5085875259135,"Parulidae"
"Cardinalis_cardinalis","Non-migrant",581.31193596156,28.2322759670492,"Cardinalidae"
"Cardinalis_phoeniceus","Non-migrant",5.76365661270054,21.0988867526115,"Cardinalidae"
"Caryothraustes_canadensis","Non-migrant",216.695695482003,37.4971778374538,"Cardinalidae"
